Product Code,Product Name
104990,BOBBIN HOUNDER
104992,BUTTON CLAM JAW SCREW
104994,NEEDLE BAR BEARING
104995,TIMING PULLEY ASM.
104996,SHETTLE HOOK GUD
104999,KNIFE SUPPORTING
105000,PHOTO SENSOR 
105002,MOVING KNIFE B/TECH
105004,SHATTLE STITCH LOOPER
105005,CUTTER SOLENOID
105007,NEEDLE BAR CLAMP
105008,THREAD TENSION SHAFT
105009,PRESSURE FOOT SOLENOID 
105010,Y FEED GEAR 
105011,Y FEED SHAFT 
105013,CLATCH FEED PLATE 
105014,GUIDE ROLLER 
105015,HIGH STUD 
105017,PADDLE SPRING 
105018,BUTTON CLAM HOLDER 
105019,BUTTON CLAM HOLDER SHAPE 
105020,RETAINING RING 
105021,UPPER KNIFE 
105022,LOWER KNIFE 
105023,THREAD RELESER
105026,UPPER LOOPER
105027,PRESSURE FOOT BAR BUSH
105028,LOWER LOOPER
105029,KNIFE SUPPORTING SHIFT
105030,WITH PATY
105031,SUPER TENSION POST
105032,WITH PATY SCREW
105033,BELT COVER
105034,UPPER LOOPER BAR BUSH
105035,CHAIN
105036,AUTO TIMER FIXED KNIFE 
105037,UPPER LOOPER CONNECTING 
105039,LOOPER SHATTER 
105040,MOVING KNIFE AUTO CUTTER 
105041,THREAD STAND 
105042,PRESSURE FOOT SPRING 
105043,RETURNER
105044,UPPER ROLLER 
105045,UPPER ROLLER (PLASTIC)
105047,LOOPER LOCK BUSH
105048,RETURNER BAR
105049,LOOPER GUD
105050,ROLLER SUPPORTING
105051,OIL FILTER PLASTIC
105052,CONNECTING ROD BALL
105053,PULLEY COVER
105057,TAKE UP THREAD GUD
105058,TAKE UP LIVER
105059,P F ROLLER
105060,RACING ROLLER 
105061,LOOPER CONNECTING
105062,WASHER 
105063,NEEDLE GUD
105064,SLIDE BLOCK PIN
105067,TENSON POST
105068,FEED ROCKER CONN: ROD ASM
105069,FOLDER BADGE
105071,NEEDLE BAR CRANK PIN
105072,NEEDLE BUSHING ASM
105073,3 NEEDLE SCREW 
105074,LOOPER COVER 
105077,RUBBER DRIVING PULLEY
105078,STABLIZIR
105079,GUIDE BACK OF STAND 
105080,RUBBER MOUNTED ROLLER
105081,OIL TANKI
105082,KNIFE LOCK BOLT
105083,FOOT LEVER SPRING
105084,CAM SPRING
105085,PRESSURE FOOT ROD
105086,PRESSURE FOOT LEVER
105087,PRESSURE FOOT SHOE
105088,SPUR GEAR
105089,INTERMEDIATE GEAR
105091,ARM SPRING
105092,KNIFE LOCK WASHER
105093,TERMINAL CONTACT PIN
105094,ATTACHMENT PLAG
105096,CARBON
105098,FRONT PULLEY FOR BELT
105099,PULLEY RUBBER
105101,LAY CUTTER M/C KNIFE (ROUND)
105103,BAND KNIFE STONE
105105,SPRENDER PIN
105107,PUSH SWITCH
105109,CLAMPING ARM SHOW
105110,CUT-OUT SWITCH 
105112,RH SQUARE SHIFT &LH
105113,KNIFE SLIDE 
105114,LAY CUTTER M/C KNIFE STONE
